run	family	rung	budget	consensus_n	prediction	bound
D16_esprit550_ha3	A	0.25	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D16_esprit550_ha3	A	0.25	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D16_esprit550_ha3	A	0.50	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D16_esprit550_ha3	A	0.50	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D16_esprit550_ha3	A	0.50	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D16_esprit550_ha3	A	1.00	1	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D16_esprit550_ha3	A	1.00	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D16_esprit550_ha3	A	1.00	3	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D16_esprit550_ha3	B	0.50	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D16_esprit550_ha3	B	0.50	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D16_esprit550_ha3	B	0.50	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D16_esprit550_ha3	B	1.00	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D16_esprit550_ha3	B	1.00	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D16_esprit550_ha3	B	1.00	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D17_cdk14_oiii5	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
D17_cdk14_oiii5	A	0.00	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D17_cdk14_oiii5	A	0.00	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D17_cdk14_oiii5	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
D17_cdk14_oiii5	A	0.25	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D17_cdk14_oiii5	A	0.25	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D17_cdk14_oiii5	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D17_cdk14_oiii5	A	0.50	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D17_cdk14_oiii5	A	0.50	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D17_cdk14_oiii5	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D17_cdk14_oiii5	A	1.00	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D17_cdk14_oiii5	A	1.00	3	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
D17_cdk14_oiii5	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D17_cdk14_oiii5	B	0.50	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D17_cdk14_oiii5	B	0.50	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D17_cdk14_oiii5	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D17_cdk14_oiii5	B	1.00	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D17_cdk14_oiii5	B	1.00	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
D18_m24_deep_shed	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
D18_m24_deep_shed	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
D18_m24_deep_shed	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
D18_m24_deep_shed	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
D18_m24_deep_shed	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
D18_m24_deep_shed	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
D18_m24_deep_shed	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D18_m24_deep_shed	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D18_m24_deep_shed	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D18_m24_deep_shed	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D18_m24_deep_shed	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D18_m24_deep_shed	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D18_m24_deep_shed	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D18_m24_deep_shed	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D18_m24_deep_shed	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D18_m24_deep_shed	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D18_m24_deep_shed	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D18_m24_deep_shed	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D19_cygnus_deep_shed	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
D20_m24_bright_control	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
FlyData_AutoFocus_20260607_030642_attempt01	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
FlyData_AutoFocus_20260607_030642_attempt01	A	0.00	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
FlyData_AutoFocus_20260607_030642_attempt01	A	0.00	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
FlyData_AutoFocus_20260607_030642_attempt01	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
FlyData_AutoFocus_20260607_030642_attempt01	A	0.25	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
FlyData_AutoFocus_20260607_030642_attempt01	A	0.25	3	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
FlyData_AutoFocus_20260607_030642_attempt01	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
FlyData_AutoFocus_20260607_030642_attempt01	A	0.50	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
FlyData_AutoFocus_20260607_030642_attempt01	A	0.50	3	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
FlyData_AutoFocus_20260607_030642_attempt01	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
FlyData_AutoFocus_20260607_030642_attempt01	A	1.00	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
FlyData_AutoFocus_20260607_030642_attempt01	A	1.00	3	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
FlyData_AutoFocus_20260607_030642_attempt01	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
FlyData_AutoFocus_20260607_030642_attempt01	B	0.50	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
FlyData_AutoFocus_20260607_030642_attempt01	B	0.50	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
FlyData_AutoFocus_20260607_030642_attempt01	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
FlyData_AutoFocus_20260607_030642_attempt01	B	1.00	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
FlyData_AutoFocus_20260607_030642_attempt01	B	1.00	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	A	0.00	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	A	0.00	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	A	0.00	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	A	0.25	1	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	A	0.25	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	A	0.25	3	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	A	0.50	1	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	A	0.50	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	A	0.50	3	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	A	1.00	1	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	A	1.00	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	A	1.00	3	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	B	0.50	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	B	0.50	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	B	0.50	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	B	1.00	1	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	B	1.00	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
LinwoodFocus_AutoFocus_20220329_211008_attempt01	B	1.00	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
Panos_attempt01	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
Panos_attempt01	A	0.00	2	2	INDETERMINATE	one of printed budget rows 0..2 (other 3 models' scales are not printed)
Panos_attempt01	A	0.00	3	2	INDETERMINATE	one of printed budget rows 0..2 (other 3 models' scales are not printed)
Panos_attempt01	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
Panos_attempt01	A	0.25	2	2	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
Panos_attempt01	A	0.25	3	2	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
Panos_attempt01	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
Panos_attempt01	A	0.50	2	2	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
Panos_attempt01	A	0.50	3	2	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
Panos_attempt01	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
Panos_attempt01	A	1.00	2	2	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
Panos_attempt01	A	1.00	3	2	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
Panos_attempt01	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
Panos_attempt01	B	0.50	2	2	INDETERMINATE	one of printed budget rows 0..2 (other 3 models' scales are not printed)
Panos_attempt01	B	0.50	3	2	INDETERMINATE	one of printed budget rows 0..2 (other 3 models' scales are not printed)
Panos_attempt01	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
Panos_attempt01	B	1.00	2	2	INDETERMINATE	one of printed budget rows 0..2 (other 3 models' scales are not printed)
Panos_attempt01	B	1.00	3	2	INDETERMINATE	one of printed budget rows 0..2 (other 3 models' scales are not printed)
SorenVance_AutoFocus_20260711_014141_attempt01	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
SorenVance_AutoFocus_20260711_014141_attempt01	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
SorenVance_AutoFocus_20260711_014141_attempt01	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
SorenVance_AutoFocus_20260711_014141_attempt01	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
SorenVance_AutoFocus_20260711_014141_attempt01	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
SorenVance_AutoFocus_20260711_014141_attempt01	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
SorenVance_AutoFocus_20260711_014141_attempt01	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
SorenVance_AutoFocus_20260711_014141_attempt01	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
SorenVance_AutoFocus_20260711_014141_attempt01	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
SorenVance_AutoFocus_20260711_014141_attempt01	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
SorenVance_AutoFocus_20260711_014141_attempt01	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
SorenVance_AutoFocus_20260711_014141_attempt01	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
SorenVance_AutoFocus_20260711_014141_attempt01	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
SorenVance_AutoFocus_20260711_014141_attempt01	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
SorenVance_AutoFocus_20260711_014141_attempt01	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
SorenVance_AutoFocus_20260711_014141_attempt01	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
SorenVance_AutoFocus_20260711_014141_attempt01	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
SorenVance_AutoFocus_20260711_014141_attempt01	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
bobp_AutoFocus_20260626_215910_attempt01	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
bobp_AutoFocus_20260626_215910_attempt01	A	0.00	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
bobp_AutoFocus_20260626_215910_attempt01	A	0.00	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
bobp_AutoFocus_20260626_215910_attempt01	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
bobp_AutoFocus_20260626_215910_attempt01	A	0.25	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
bobp_AutoFocus_20260626_215910_attempt01	A	0.25	3	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
bobp_AutoFocus_20260626_215910_attempt01	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
bobp_AutoFocus_20260626_215910_attempt01	A	0.50	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
bobp_AutoFocus_20260626_215910_attempt01	A	0.50	3	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
bobp_AutoFocus_20260626_215910_attempt01	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
bobp_AutoFocus_20260626_215910_attempt01	A	1.00	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
bobp_AutoFocus_20260626_215910_attempt01	A	1.00	3	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
bobp_AutoFocus_20260626_215910_attempt01	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
bobp_AutoFocus_20260626_215910_attempt01	B	0.50	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
bobp_AutoFocus_20260626_215910_attempt01	B	0.50	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
bobp_AutoFocus_20260626_215910_attempt01	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
bobp_AutoFocus_20260626_215910_attempt01	B	1.00	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
bobp_AutoFocus_20260626_215910_attempt01	B	1.00	3	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
bobp_m101_AutoFocus_20260626_225408_attempt01	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
bobp_m101_AutoFocus_20260626_225408_attempt01	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
bobp_m101_AutoFocus_20260626_225408_attempt01	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
bobp_m101_AutoFocus_20260626_225408_attempt01	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
bobp_m101_AutoFocus_20260626_225408_attempt01	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
bobp_m101_AutoFocus_20260626_225408_attempt01	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
bobp_m101_AutoFocus_20260626_225408_attempt01	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
bobp_m101_AutoFocus_20260626_225408_attempt01	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
bobp_m101_AutoFocus_20260626_225408_attempt01	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
bobp_m101_AutoFocus_20260626_225408_attempt01	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
bobp_m101_AutoFocus_20260626_225408_attempt01	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
bobp_m101_AutoFocus_20260626_225408_attempt01	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
bobp_m101_AutoFocus_20260626_225408_attempt01	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
bobp_m101_AutoFocus_20260626_225408_attempt01	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
bobp_m101_AutoFocus_20260626_225408_attempt01	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
bobp_m101_AutoFocus_20260626_225408_attempt01	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
bobp_m101_AutoFocus_20260626_225408_attempt01	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
bobp_m101_AutoFocus_20260626_225408_attempt01	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
caboose_AutoFocus_20220803_211249_attempt01	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
caboose_AutoFocus_20220803_211249_attempt01	A	0.00	2	1	INDETERMINATE	one of printed budget rows 0..1 (other 3 models' scales are not printed)
caboose_AutoFocus_20220803_211249_attempt01	A	0.00	3	2	INDETERMINATE	one of printed budget rows 0..2 (other 3 models' scales are not printed)
caboose_AutoFocus_20220803_211249_attempt01	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
caboose_AutoFocus_20220803_211249_attempt01	A	0.25	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
caboose_AutoFocus_20220803_211249_attempt01	A	0.25	3	2	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
caboose_AutoFocus_20220803_211249_attempt01	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
caboose_AutoFocus_20220803_211249_attempt01	A	0.50	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
caboose_AutoFocus_20220803_211249_attempt01	A	0.50	3	2	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
caboose_AutoFocus_20220803_211249_attempt01	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
caboose_AutoFocus_20220803_211249_attempt01	A	1.00	2	1	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
caboose_AutoFocus_20220803_211249_attempt01	A	1.00	3	2	SUPPRESSED	= printed budget-0 row (EXACT: the printed model is one of the four consensus candidates, so the intersection is empty)
caboose_AutoFocus_20220803_211249_attempt01	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
caboose_AutoFocus_20220803_211249_attempt01	B	0.50	2	1	UNRESOLVABLE	-
caboose_AutoFocus_20220803_211249_attempt01	B	0.50	3	2	UNRESOLVABLE	-
caboose_AutoFocus_20220803_211249_attempt01	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
caboose_AutoFocus_20220803_211249_attempt01	B	1.00	2	1	UNRESOLVABLE	-
caboose_AutoFocus_20220803_211249_attempt01	B	1.00	3	2	UNRESOLVABLE	-
cwhite_2026_AutoFocus_20260621_214312_attempt01	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
cwhite_2026_AutoFocus_20260621_214312_attempt01	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
cwhite_2026_AutoFocus_20260621_214312_attempt01	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
cwhite_2026_AutoFocus_20260621_214312_attempt01	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
cwhite_2026_AutoFocus_20260621_214312_attempt01	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
cwhite_2026_AutoFocus_20260621_214312_attempt01	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
cwhite_2026_AutoFocus_20260621_214312_attempt01	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
cwhite_2026_AutoFocus_20260621_214312_attempt01	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
cwhite_2026_AutoFocus_20260621_214312_attempt01	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
cwhite_2026_AutoFocus_20260621_214312_attempt01	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
cwhite_2026_AutoFocus_20260621_214312_attempt01	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
cwhite_2026_AutoFocus_20260621_214312_attempt01	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
cwhite_2026_AutoFocus_20260621_214312_attempt01	B	0.50	1	0	N/A	budget-0 row (nothing to suppress)
cwhite_2026_AutoFocus_20260621_214312_attempt01	B	0.50	2	0	N/A	budget-0 row (nothing to suppress)
cwhite_2026_AutoFocus_20260621_214312_attempt01	B	0.50	3	0	N/A	budget-0 row (nothing to suppress)
cwhite_2026_AutoFocus_20260621_214312_attempt01	B	1.00	1	0	N/A	budget-0 row (nothing to suppress)
cwhite_2026_AutoFocus_20260621_214312_attempt01	B	1.00	2	0	N/A	budget-0 row (nothing to suppress)
cwhite_2026_AutoFocus_20260621_214312_attempt01	B	1.00	3	0	N/A	budget-0 row (nothing to suppress)
fmeschia_Focus_AutoFocus_20220422_220015_attempt01	A	0.00	1	0	N/A	budget-0 row (nothing to suppress)
fmeschia_Focus_AutoFocus_20220422_220015_attempt01	A	0.00	2	0	N/A	budget-0 row (nothing to suppress)
fmeschia_Focus_AutoFocus_20220422_220015_attempt01	A	0.00	3	0	N/A	budget-0 row (nothing to suppress)
fmeschia_Focus_AutoFocus_20220422_220015_attempt01	A	0.25	1	0	N/A	budget-0 row (nothing to suppress)
fmeschia_Focus_AutoFocus_20220422_220015_attempt01	A	0.25	2	0	N/A	budget-0 row (nothing to suppress)
fmeschia_Focus_AutoFocus_20220422_220015_attempt01	A	0.25	3	0	N/A	budget-0 row (nothing to suppress)
fmeschia_Focus_AutoFocus_20220422_220015_attempt01	A	0.50	1	0	N/A	budget-0 row (nothing to suppress)
fmeschia_Focus_AutoFocus_20220422_220015_attempt01	A	0.50	2	0	N/A	budget-0 row (nothing to suppress)
fmeschia_Focus_AutoFocus_20220422_220015_attempt01	A	0.50	3	0	N/A	budget-0 row (nothing to suppress)
fmeschia_Focus_AutoFocus_20220422_220015_attempt01	A	1.00	1	0	N/A	budget-0 row (nothing to suppress)
fmeschia_Focus_AutoFocus_20220422_220015_attempt01	A	1.00	2	0	N/A	budget-0 row (nothing to suppress)
fmeschia_Focus_AutoFocus_20220422_220015_attempt01	A	1.00	3	0	N/A	budget-0 row (nothing to suppress)
